,성별,연령대,가구소득정도,사용목적1순위값,사용목적2순위값,평일일평균레저시간값,주말일평균레저시간값,휴식오락사용비율,취미사용비율,본인계발사용비율,대인관계교제사용비율,기타사용비율,관심레저활동1순위값,계절,위도,경도,또래인구수
10056,1,3,3,6,0,1,4,20.0,20.0,10.0,50.0,0.0,3,0,37.5665,126.978,1476224
10057,0,4,1,1,8,3,5,10.0,20.0,50.0,20.0,0.0,5,0,36.48,127.289,37106
10058,1,1,2,0,4,2,8,30.0,50.0,0.0,20.0,0.0,15,0,37.4138,127.5183,1871078
10059,0,4,1,8,7,3,7,30.0,10.0,20.0,40.0,0.0,3,0,37.4138,127.5183,1819701
10060,0,1,1,5,1,4,8,60.0,10.0,10.0,10.0,10.0,61,0,37.5665,126.978,1419153
10061,0,2,2,8,5,5,9,60.0,0.0,30.0,10.0,0.0,6,0,37.4563,126.7052,477344
10062,1,2,4,0,5,1,5,90.0,10.0,0.0,0.0,0.0,15,0,35.1595,126.8526,226190
10063,1,2,2,0,6,1,2,80.0,10.0,0.0,10.0,0.0,52,0,37.5665,126.978,1406016
10064,0,0,1,3,0,2,3,50.0,0.0,0.0,50.0,0.0,27,0,37.5665,126.978,1350822
10065,1,4,1,5,1,3,4,10.0,10.0,30.0,50.0,0.0,49,0,34.816,126.4629,304757
10066,0,3,1,6,9,1,2,50.0,20.0,10.0,10.0,10.0,11,0,37.4563,126.7052,511852
10067,1,1,1,0,9,2,2,95.0,1.0,1.0,3.0,0.0,6,0,36.3504,127.3845,187192
10068,0,3,4,5,0,3,2,10.0,10.0,30.0,50.0,0.0,63,0,37.4138,127.5183,2318045
10069,1,3,2,4,6,2,10,30.0,40.0,0.0,30.0,0.0,64,0,37.4138,127.5183,2318045
10070,1,0,1,4,5,3,12,0.0,0.0,100.0,0.0,0.0,81,0,37.5665,126.978,1350822
10071,1,4,4,1,4,3,4,30.0,50.0,10.0,10.0,0.0,31,0,35.4606,128.2132,527532
10072,1,2,4,5,1,5,6,30.0,30.0,10.0,30.0,0.0,45,0,35.8714,128.6014,354272
10073,0,2,2,5,0,1,3,90.0,0.0,0.0,10.0,0.0,61,0,35.8714,128.6014,354272
10074,1,2,3,6,7,4,4,100.0,0.0,0.0,0.0,0.0,52,0,37.4138,127.5183,2243227
10075,1,3,2,1,0,3,1,20.0,10.0,60.0,10.0,0.0,32,0,36.6357,127.4913,271144
10076,1,1,1,3,9,4,6,90.0,0.0,0.0,10.0,0.0,41,0,36.3504,127.3845,187192
10077,1,0,0,3,7,12,12,20.0,20.0,20.0,20.0,20.0,61,0,37.5665,126.978,1350822
